date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:56:57	44036/44036	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:58%20GMT	https://peruoffset.pe/assets/images/clientes/unilever.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/unilever.png	(from https://peruoffset.pe/)
10:56:57	41972/41972	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:56%20GMT	https://peruoffset.pe/assets/images/clientes/sanroque.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/sanroque.png	(from https://peruoffset.pe/)
10:56:57	44516/44516	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:54%20GMT	https://peruoffset.pe/assets/images/clientes/pardos.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/pardos.png	(from https://peruoffset.pe/)
10:56:57	60255/60255	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:54%20GMT	https://peruoffset.pe/assets/images/clientes/nestle.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/nestle.png	(from https://peruoffset.pe/)
10:56:58	36869/36869	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:53%20GMT	https://peruoffset.pe/assets/images/clientes/molitalia.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/molitalia.png	(from https://peruoffset.pe/)
10:56:58	60182/60182	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:45%20GMT	https://peruoffset.pe/assets/images/clientes/don-mamino.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/don-mamino.png	(from https://peruoffset.pe/)
10:56:58	66272/66272	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:49%20GMT	https://peruoffset.pe/assets/images/clientes/gloria.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/gloria.png	(from https://peruoffset.pe/)
10:56:58	55134/55134	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:45%20GMT	https://peruoffset.pe/assets/images/clientes/cineplex.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/cineplex.png	(from https://peruoffset.pe/)
10:56:59	50134/50134	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:37%20GMT	https://peruoffset.pe/assets/images/clientes/alicorp.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/alicorp.png	(from https://peruoffset.pe/)
10:56:59	27583/27583	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:57%20GMT	https://peruoffset.pe/assets/images/clientes/unilebell.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/unilebell.png	(from https://peruoffset.pe/)
10:56:59	38530/38530	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:55%20GMT	https://peruoffset.pe/assets/images/clientes/portugal.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/portugal.png	(from https://peruoffset.pe/)
10:56:59	41870/41870	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:55%20GMT	https://peruoffset.pe/assets/images/clientes/pluscosmetica.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/pluscosmetica.png	(from https://peruoffset.pe/)
10:56:59	39303/39303	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:53%20GMT	https://peruoffset.pe/assets/images/clientes/natura.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/natura.png	(from https://peruoffset.pe/)
